id,subzone,planning_area,venue_type,competitor_score,competitor_density,created_at,competitor_count,underserved_score,overall_score
3686,CHINATOWN,OUTRAM,SPORTS_COMPLEX,5.89,unknown,2025-04-18 14:18:58.613368,,43.49,48.97
3687,PHILLIP,DOWNTOWN CORE,ARTS,53.24,unknown,2025-04-18 14:18:58.652225,,0.00,33.75
3688,PHILLIP,DOWNTOWN CORE,APPAREL,98.07,unknown,2025-04-18 14:18:58.698265,,0.00,6.92
3689,PHILLIP,DOWNTOWN CORE,CAFE,29.75,unknown,2025-04-18 14:18:58.746332,,0.00,30.98
3690,PHILLIP,DOWNTOWN CORE,CLUBS,60.17,unknown,2025-04-18 14:18:58.78674,,0.00,33.75
3691,PHILLIP,DOWNTOWN CORE,DOCTOR,3.52,unknown,2025-04-18 14:18:58.833339,,0.00,6.92
3692,PHILLIP,DOWNTOWN CORE,RESTAURANT,97.61,unknown,2025-04-18 14:18:58.881753,,0.00,3.11
3693,PHILLIP,DOWNTOWN CORE,SHOPPING,24.96,unknown,2025-04-18 14:18:58.919226,,0.00,6.92
3694,PHILLIP,DOWNTOWN CORE,PERSONAL_CARE,60.40,unknown,2025-04-18 14:18:58.961172,,0.00,6.92
3695,PHILLIP,DOWNTOWN CORE,SCHOOL,65.73,unknown,2025-04-18 14:18:58.99755,,0.00,3.08
3696,PHILLIP,DOWNTOWN CORE,VEHICLE,78.30,unknown,2025-04-18 14:18:59.032451,,0.00,6.92
3697,PHILLIP,DOWNTOWN CORE,SPORTS_COMPLEX,50.09,unknown,2025-04-18 14:18:59.06524,,0.00,33.75
3698,RAFFLES PLACE,DOWNTOWN CORE,ARTS,48.83,unknown,2025-04-18 14:18:59.113132,,0.00,33.75
3699,RAFFLES PLACE,DOWNTOWN CORE,APPAREL,26.42,unknown,2025-04-18 14:18:59.153051,,0.00,6.92
3700,RAFFLES PLACE,DOWNTOWN CORE,CAFE,63.73,unknown,2025-04-18 14:18:59.187381,,0.00,30.98
3701,RAFFLES PLACE,DOWNTOWN CORE,CLUBS,40.36,unknown,2025-04-18 14:18:59.221934,,0.00,33.75
3702,RAFFLES PLACE,DOWNTOWN CORE,DOCTOR,49.49,unknown,2025-04-18 14:18:59.286866,,0.00,6.92
3703,RAFFLES PLACE,DOWNTOWN CORE,RESTAURANT,71.80,unknown,2025-04-18 14:18:59.325841,,0.00,3.11
3704,RAFFLES PLACE,DOWNTOWN CORE,SHOPPING,58.79,unknown,2025-04-18 14:18:59.375408,,0.00,6.92
3705,RAFFLES PLACE,DOWNTOWN CORE,PERSONAL_CARE,15.55,unknown,2025-04-18 14:18:59.410057,,0.00,6.92
3706,RAFFLES PLACE,DOWNTOWN CORE,SCHOOL,50.30,unknown,2025-04-18 14:18:59.452202,,0.00,3.08
3707,RAFFLES PLACE,DOWNTOWN CORE,VEHICLE,3.25,unknown,2025-04-18 14:18:59.518324,,0.00,6.92
3708,RAFFLES PLACE,DOWNTOWN CORE,SPORTS_COMPLEX,95.91,unknown,2025-04-18 14:18:59.559332,,0.00,33.75
3709,CHINA SQUARE,OUTRAM,ARTS,36.42,unknown,2025-04-18 14:18:59.594419,,29.09,43.93
3710,CHINA SQUARE,OUTRAM,APPAREL,69.80,unknown,2025-04-18 14:18:59.637606,,29.09,31.9
3711,CHINA SQUARE,OUTRAM,CAFE,89.87,unknown,2025-04-18 14:18:59.682387,,29.09,41.16
3712,CHINA SQUARE,OUTRAM,CLUBS,38.91,unknown,2025-04-18 14:18:59.719024,,29.09,43.93
3713,CHINA SQUARE,OUTRAM,DOCTOR,76.28,unknown,2025-04-18 14:18:59.758964,,29.09,31.9
3714,CHINA SQUARE,OUTRAM,RESTAURANT,61.14,unknown,2025-04-18 14:18:59.795389,,29.09,28.09
3715,CHINA SQUARE,OUTRAM,SHOPPING,10.76,unknown,2025-04-18 14:18:59.836509,,29.09,31.9
3716,CHINA SQUARE,OUTRAM,PERSONAL_CARE,31.12,unknown,2025-04-18 14:18:59.875455,,29.09,31.9
3717,CHINA SQUARE,OUTRAM,SCHOOL,89.72,unknown,2025-04-18 14:18:59.910631,,29.09,28.06
3718,CHINA SQUARE,OUTRAM,VEHICLE,63.24,unknown,2025-04-18 14:18:59.951469,,29.09,31.9
3719,CHINA SQUARE,OUTRAM,SPORTS_COMPLEX,43.52,unknown,2025-04-18 14:18:59.986083,,29.09,43.93
3720,TIONG BAHRU,BUKIT MERAH,ARTS,65.08,unknown,2025-04-18 14:19:00.036306,,60.56,67.11
3721,TIONG BAHRU,BUKIT MERAH,APPAREL,0.39,unknown,2025-04-18 14:19:00.101492,,60.56,67.11
3722,TIONG BAHRU,BUKIT MERAH,CAFE,32.47,unknown,2025-04-18 14:19:00.143618,,60.56,64.34
3723,TIONG BAHRU,BUKIT MERAH,CLUBS,2.45,unknown,2025-04-18 14:19:00.187167,,60.56,67.11
3724,TIONG BAHRU,BUKIT MERAH,DOCTOR,63.31,unknown,2025-04-18 14:19:00.232012,,60.56,42.91
3725,TIONG BAHRU,BUKIT MERAH,RESTAURANT,94.93,unknown,2025-04-18 14:19:00.272741,,60.56,63.3
3726,TIONG BAHRU,BUKIT MERAH,SHOPPING,96.82,unknown,2025-04-18 14:19:00.324208,,60.56,67.11
3727,TIONG BAHRU,BUKIT MERAH,PERSONAL_CARE,42.94,unknown,2025-04-18 14:19:00.370461,,60.56,67.11
3728,TIONG BAHRU,BUKIT MERAH,SCHOOL,1.17,unknown,2025-04-18 14:19:00.426407,,60.56,39.07
3729,TIONG BAHRU,BUKIT MERAH,VEHICLE,9.84,unknown,2025-04-18 14:19:00.476604,,60.56,67.11
3730,TIONG BAHRU,BUKIT MERAH,SPORTS_COMPLEX,25.93,unknown,2025-04-18 14:19:00.515655,,60.56,67.11
3731,REDHILL,BUKIT MERAH,ARTS,78.29,unknown,2025-04-18 14:19:00.574647,,65.35,56.63
3732,REDHILL,BUKIT MERAH,APPAREL,70.86,unknown,2025-04-18 14:19:00.609046,,65.35,44.59
3733,REDHILL,BUKIT MERAH,CAFE,86.67,unknown,2025-04-18 14:19:00.642384,,65.35,53.85
3734,REDHILL,BUKIT MERAH,CLUBS,93.91,unknown,2025-04-18 14:19:00.710043,,65.35,56.62
3735,REDHILL,BUKIT MERAH,DOCTOR,32.95,unknown,2025-04-18 14:19:00.744628,,65.35,44.59
3736,REDHILL,BUKIT MERAH,RESTAURANT,53.11,unknown,2025-04-18 14:19:00.785624,,65.35,40.78
3737,REDHILL,BUKIT MERAH,SHOPPING,61.88,unknown,2025-04-18 14:19:00.824685,,65.35,44.59
3738,REDHILL,BUKIT MERAH,PERSONAL_CARE,91.31,unknown,2025-04-18 14:19:00.873623,,65.35,44.59
3739,REDHILL,BUKIT MERAH,SCHOOL,26.22,unknown,2025-04-18 14:19:00.908184,,65.35,40.75
3740,REDHILL,BUKIT MERAH,VEHICLE,0.70,unknown,2025-04-18 14:19:00.941165,,65.35,44.59
3741,REDHILL,BUKIT MERAH,SPORTS_COMPLEX,2.82,unknown,2025-04-18 14:19:00.976035,,65.35,56.63
3742,BAYFRONT SUBZONE,DOWNTOWN CORE,ARTS,60.55,unknown,2025-04-18 14:19:01.013377,,0.00,33.75
3743,BAYFRONT SUBZONE,DOWNTOWN CORE,APPAREL,63.15,unknown,2025-04-18 14:19:01.051082,,0.00,6.92
3744,BAYFRONT SUBZONE,DOWNTOWN CORE,CAFE,51.26,unknown,2025-04-18 14:19:01.091123,,0.00,30.98
3745,BAYFRONT SUBZONE,DOWNTOWN CORE,CLUBS,79.72,unknown,2025-04-18 14:19:01.12911,,0.00,33.75
3746,BAYFRONT SUBZONE,DOWNTOWN CORE,DOCTOR,37.32,unknown,2025-04-18 14:19:01.174852,,0.00,6.92
3747,BAYFRONT SUBZONE,DOWNTOWN CORE,RESTAURANT,97.58,unknown,2025-04-18 14:19:01.209967,,0.00,3.11
3748,BAYFRONT SUBZONE,DOWNTOWN CORE,SHOPPING,53.95,unknown,2025-04-18 14:19:01.245361,,0.00,6.92
3749,BAYFRONT SUBZONE,DOWNTOWN CORE,PERSONAL_CARE,35.10,unknown,2025-04-18 14:19:01.28068,,0.00,6.92
3750,BAYFRONT SUBZONE,DOWNTOWN CORE,SCHOOL,1.31,unknown,2025-04-18 14:19:01.318169,,0.00,3.08
3751,BAYFRONT SUBZONE,DOWNTOWN CORE,VEHICLE,79.95,unknown,2025-04-18 14:19:01.355232,,0.00,6.92
3752,BAYFRONT SUBZONE,DOWNTOWN CORE,SPORTS_COMPLEX,70.46,unknown,2025-04-18 14:19:01.396391,,0.00,33.75
3753,TIONG BAHRU STATION,BUKIT MERAH,ARTS,89.84,unknown,2025-04-18 14:19:01.433096,,100.00,68.75
3754,TIONG BAHRU STATION,BUKIT MERAH,APPAREL,28.14,unknown,2025-04-18 14:19:01.467076,,100.00,56.71
3755,TIONG BAHRU STATION,BUKIT MERAH,CAFE,99.86,unknown,2025-04-18 14:19:01.507934,,100.00,65.98
3756,TIONG BAHRU STATION,BUKIT MERAH,CLUBS,55.27,unknown,2025-04-18 14:19:01.548674,,100.00,68.75
3757,TIONG BAHRU STATION,BUKIT MERAH,DOCTOR,69.53,unknown,2025-04-18 14:19:01.580639,,100.00,56.71
3758,TIONG BAHRU STATION,BUKIT MERAH,RESTAURANT,87.97,unknown,2025-04-18 14:19:01.615916,,100.00,52.9
3759,TIONG BAHRU STATION,BUKIT MERAH,SHOPPING,58.80,unknown,2025-04-18 14:19:01.658232,,100.00,56.72
3760,TIONG BAHRU STATION,BUKIT MERAH,PERSONAL_CARE,28.37,unknown,2025-04-18 14:19:01.70441,,100.00,56.71
3761,TIONG BAHRU STATION,BUKIT MERAH,SCHOOL,10.52,unknown,2025-04-18 14:19:01.756604,,100.00,52.88
3762,TIONG BAHRU STATION,BUKIT MERAH,VEHICLE,12.84,unknown,2025-04-18 14:19:01.823094,,100.00,56.71
3763,TIONG BAHRU STATION,BUKIT MERAH,SPORTS_COMPLEX,34.49,unknown,2025-04-18 14:19:01.866117,,100.00,68.75
3764,CLIFFORD PIER,DOWNTOWN CORE,ARTS,66.87,unknown,2025-04-18 14:19:01.920401,,0.00,33.75
3765,CLIFFORD PIER,DOWNTOWN CORE,APPAREL,5.39,unknown,2025-04-18 14:19:01.974366,,0.00,6.92
3766,CLIFFORD PIER,DOWNTOWN CORE,CAFE,14.01,unknown,2025-04-18 14:19:02.019103,,0.00,30.98
3767,CLIFFORD PIER,DOWNTOWN CORE,CLUBS,7.60,unknown,2025-04-18 14:19:02.060816,,0.00,33.75
3768,CLIFFORD PIER,DOWNTOWN CORE,DOCTOR,72.88,unknown,2025-04-18 14:19:02.113863,,0.00,6.92
3769,CLIFFORD PIER,DOWNTOWN CORE,RESTAURANT,9.21,unknown,2025-04-18 14:19:02.151684,,0.00,3.11
3770,CLIFFORD PIER,DOWNTOWN CORE,SHOPPING,64.69,unknown,2025-04-18 14:19:02.192032,,0.00,6.92
3771,CLIFFORD PIER,DOWNTOWN CORE,PERSONAL_CARE,31.76,unknown,2025-04-18 14:19:02.235511,,0.00,6.92
3772,CLIFFORD PIER,DOWNTOWN CORE,SCHOOL,61.41,unknown,2025-04-18 14:19:02.271477,,0.00,3.08
3773,CLIFFORD PIER,DOWNTOWN CORE,VEHICLE,51.03,unknown,2025-04-18 14:19:02.310908,,0.00,6.92
3774,CLIFFORD PIER,DOWNTOWN CORE,SPORTS_COMPLEX,28.10,unknown,2025-04-18 14:19:02.363166,,0.00,33.75
3775,MARINA SOUTH,MARINA SOUTH,ARTS,87.35,unknown,2025-04-18 14:19:02.404784,,0.00,33.75
3776,MARINA SOUTH,MARINA SOUTH,APPAREL,61.14,unknown,2025-04-18 14:19:02.446736,,0.00,6.92
3777,MARINA SOUTH,MARINA SOUTH,CAFE,68.31,unknown,2025-04-18 14:19:02.482954,,0.00,30.98
3778,MARINA SOUTH,MARINA SOUTH,CLUBS,37.88,unknown,2025-04-18 14:19:02.520938,,0.00,33.75
3779,MARINA SOUTH,MARINA SOUTH,DOCTOR,16.21,unknown,2025-04-18 14:19:02.558012,,0.00,6.92
3780,MARINA SOUTH,MARINA SOUTH,RESTAURANT,74.23,unknown,2025-04-18 14:19:02.592781,,0.00,3.11
3781,MARINA SOUTH,MARINA SOUTH,SHOPPING,13.59,unknown,2025-04-18 14:19:02.655869,,0.00,6.92
3782,MARINA SOUTH,MARINA SOUTH,PERSONAL_CARE,13.81,unknown,2025-04-18 14:19:02.689639,,0.00,6.92
3783,MARINA SOUTH,MARINA SOUTH,SCHOOL,87.24,unknown,2025-04-18 14:19:02.730431,,0.00,3.08
3784,MARINA SOUTH,MARINA SOUTH,VEHICLE,62.17,unknown,2025-04-18 14:19:02.762701,,0.00,6.92
3785,MARINA SOUTH,MARINA SOUTH,SPORTS_COMPLEX,63.49,unknown,2025-04-18 14:19:02.796822,,0.00,33.75
3786,NICOLL,DOWNTOWN CORE,ARTS,54.82,unknown,2025-04-18 14:19:02.833745,,,51.93
3787,NICOLL,DOWNTOWN CORE,APPAREL,91.55,unknown,2025-04-18 14:19:02.866166,,,10.64
3788,NICOLL,DOWNTOWN CORE,CAFE,10.05,unknown,2025-04-18 14:19:02.903721,,,47.66
3789,NICOLL,DOWNTOWN CORE,CLUBS,72.28,unknown,2025-04-18 14:19:02.952306,,,51.93
3790,NICOLL,DOWNTOWN CORE,DOCTOR,79.09,unknown,2025-04-18 14:19:02.993221,,,10.64
3791,NICOLL,DOWNTOWN CORE,RESTAURANT,28.46,unknown,2025-04-18 14:19:03.031479,,,4.78
3792,NICOLL,DOWNTOWN CORE,SHOPPING,61.59,unknown,2025-04-18 14:19:03.068037,,,10.64
3793,NICOLL,DOWNTOWN CORE,PERSONAL_CARE,98.22,unknown,2025-04-18 14:19:03.103444,,,10.64
3794,NICOLL,DOWNTOWN CORE,SCHOOL,21.53,unknown,2025-04-18 14:19:03.145874,,,4.74
3795,NICOLL,DOWNTOWN CORE,VEHICLE,73.24,unknown,2025-04-18 14:19:03.19079,,,10.64
3796,NICOLL,DOWNTOWN CORE,SPORTS_COMPLEX,85.87,unknown,2025-04-18 14:19:03.224177,,,51.93
3797,MARINA EAST,MARINA EAST,ARTS,32.35,unknown,2025-04-18 14:19:03.261968,,0.00,33.75
3798,MARINA EAST,MARINA EAST,APPAREL,82.55,unknown,2025-04-18 14:19:03.292596,,0.00,6.92
3799,MARINA EAST,MARINA EAST,CAFE,20.97,unknown,2025-04-18 14:19:03.342499,,0.00,30.98
3800,MARINA EAST,MARINA EAST,CLUBS,36.69,unknown,2025-04-18 14:19:03.384763,,0.00,33.75
3801,MARINA EAST,MARINA EAST,DOCTOR,22.17,unknown,2025-04-18 14:19:03.422105,,0.00,6.92
3802,MARINA EAST,MARINA EAST,RESTAURANT,92.44,unknown,2025-04-18 14:19:03.467372,,0.00,3.11
3803,MARINA EAST,MARINA EAST,SHOPPING,22.81,unknown,2025-04-18 14:19:03.506336,,0.00,6.92
3804,MARINA EAST,MARINA EAST,PERSONAL_CARE,83.45,unknown,2025-04-18 14:19:03.539801,,0.00,6.92
3805,MARINA EAST,MARINA EAST,SCHOOL,34.94,unknown,2025-04-18 14:19:03.57876,,0.00,3.08
3806,MARINA EAST,MARINA EAST,VEHICLE,54.33,unknown,2025-04-18 14:19:03.616301,,0.00,6.92
3807,MARINA EAST,MARINA EAST,SPORTS_COMPLEX,39.07,unknown,2025-04-18 14:19:03.649714,,0.00,33.75
3808,INSTITUTION HILL,RIVER VALLEY,ARTS,20.70,unknown,2025-04-18 14:19:03.684019,,17.74,39.96
3809,INSTITUTION HILL,RIVER VALLEY,APPAREL,10.14,unknown,2025-04-18 14:19:03.721036,,17.74,27.92
3810,INSTITUTION HILL,RIVER VALLEY,CAFE,77.43,unknown,2025-04-18 14:19:03.755099,,17.74,37.19
3811,INSTITUTION HILL,RIVER VALLEY,CLUBS,82.83,unknown,2025-04-18 14:19:03.788855,,17.74,39.96
3812,INSTITUTION HILL,RIVER VALLEY,DOCTOR,89.12,unknown,2025-04-18 14:19:03.824715,,17.74,27.92
3813,INSTITUTION HILL,RIVER VALLEY,RESTAURANT,65.10,unknown,2025-04-18 14:19:03.861858,,17.74,24.11
3814,INSTITUTION HILL,RIVER VALLEY,SHOPPING,11.23,unknown,2025-04-18 14:19:03.89501,,17.74,27.92
3815,INSTITUTION HILL,RIVER VALLEY,PERSONAL_CARE,87.52,unknown,2025-04-18 14:19:03.938864,,17.74,27.92
3816,INSTITUTION HILL,RIVER VALLEY,SCHOOL,58.15,unknown,2025-04-18 14:19:03.983481,,17.74,24.09
3817,INSTITUTION HILL,RIVER VALLEY,VEHICLE,19.43,unknown,2025-04-18 14:19:04.019045,,17.74,27.92
3818,INSTITUTION HILL,RIVER VALLEY,SPORTS_COMPLEX,77.34,unknown,2025-04-18 14:19:04.060744,,17.74,39.96
3819,ROBERTSON QUAY,SINGAPORE RIVER,ARTS,66.34,unknown,2025-04-18 14:19:04.095564,,9.98,37.25
3820,ROBERTSON QUAY,SINGAPORE RIVER,APPAREL,50.10,unknown,2025-04-18 14:19:04.168415,,9.98,25.21
3821,ROBERTSON QUAY,SINGAPORE RIVER,CAFE,37.40,unknown,2025-04-18 14:19:04.205306,,9.98,34.47
3822,ROBERTSON QUAY,SINGAPORE RIVER,CLUBS,64.05,unknown,2025-04-18 14:19:04.242806,,9.98,37.25
3823,ROBERTSON QUAY,SINGAPORE RIVER,DOCTOR,29.93,unknown,2025-04-18 14:19:04.295415,,9.98,25.21
3824,ROBERTSON QUAY,SINGAPORE RIVER,RESTAURANT,66.78,unknown,2025-04-18 14:19:04.336193,,9.98,21.4
3825,ROBERTSON QUAY,SINGAPORE RIVER,SHOPPING,33.38,unknown,2025-04-18 14:19:04.381216,,9.98,25.21
3826,ROBERTSON QUAY,SINGAPORE RIVER,PERSONAL_CARE,34.21,unknown,2025-04-18 14:19:04.412331,,9.98,25.21
3827,ROBERTSON QUAY,SINGAPORE RIVER,SCHOOL,38.01,unknown,2025-04-18 14:19:04.446876,,9.98,21.37
3828,ROBERTSON QUAY,SINGAPORE RIVER,VEHICLE,10.47,unknown,2025-04-18 14:19:04.489802,,9.98,25.21
3829,ROBERTSON QUAY,SINGAPORE RIVER,SPORTS_COMPLEX,12.56,unknown,2025-04-18 14:19:04.554926,,9.98,37.25
3830,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,ARTS,84.48,unknown,2025-04-18 14:19:04.623979,,0.00,33.75
3831,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,APPAREL,58.50,unknown,2025-04-18 14:19:04.699882,,0.00,6.92
3832,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,CAFE,36.48,unknown,2025-04-18 14:19:04.754843,,0.00,30.98
3833,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,CLUBS,68.10,unknown,2025-04-18 14:19:04.794043,,0.00,33.75
3834,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,DOCTOR,67.54,extremely low,2025-04-18 14:19:04.846943,1,0.00,0.0
3835,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,RESTAURANT,77.10,extremely low,2025-04-18 14:19:04.891572,1,0.00,0.0
3836,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,SHOPPING,17.85,unknown,2025-04-18 14:19:04.931142,,0.00,6.92
3837,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,PERSONAL_CARE,43.61,unknown,2025-04-18 14:19:04.978743,,0.00,6.92
3838,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,SCHOOL,7.17,unknown,2025-04-18 14:19:05.020575,,0.00,3.08
3839,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,VEHICLE,85.55,unknown,2025-04-18 14:19:05.062307,,0.00,6.92
3840,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,SPORTS_COMPLEX,56.31,unknown,2025-04-18 14:19:05.134634,,0.00,33.75
3841,FORT CANNING,MUSEUM,ARTS,48.43,unknown,2025-04-18 14:19:05.176312,,0.80,34.03
3842,FORT CANNING,MUSEUM,APPAREL,12.06,unknown,2025-04-18 14:19:05.21663,,0.80,21.99
3843,FORT CANNING,MUSEUM,CAFE,63.59,unknown,2025-04-18 14:19:05.265495,,0.80,31.26
3844,FORT CANNING,MUSEUM,CLUBS,10.55,unknown,2025-04-18 14:19:05.29827,,0.80,34.03
3845,FORT CANNING,MUSEUM,DOCTOR,30.66,unknown,2025-04-18 14:19:05.331455,,0.80,21.99
3846,FORT CANNING,MUSEUM,RESTAURANT,48.91,unknown,2025-04-18 14:19:05.364936,,0.80,18.18
3847,FORT CANNING,MUSEUM,SHOPPING,59.25,unknown,2025-04-18 14:19:05.398941,,0.80,22.0
3848,FORT CANNING,MUSEUM,PERSONAL_CARE,91.14,unknown,2025-04-18 14:19:05.43246,,0.80,21.99
3849,FORT CANNING,MUSEUM,SCHOOL,69.88,unknown,2025-04-18 14:19:05.494946,,0.80,18.16
3850,FORT CANNING,MUSEUM,VEHICLE,66.93,unknown,2025-04-18 14:19:05.536866,,0.80,21.99
3851,FORT CANNING,MUSEUM,SPORTS_COMPLEX,73.44,unknown,2025-04-18 14:19:05.575382,,0.80,34.03
3852,PEARL'S HILL,OUTRAM,ARTS,70.21,unknown,2025-04-18 14:19:05.614128,,30.86,44.55
3853,PEARL'S HILL,OUTRAM,APPAREL,21.58,unknown,2025-04-18 14:19:05.658658,,30.86,32.52
3854,PEARL'S HILL,OUTRAM,CAFE,83.26,unknown,2025-04-18 14:19:05.697296,,30.86,41.78
3855,PEARL'S HILL,OUTRAM,CLUBS,81.98,unknown,2025-04-18 14:19:05.733056,,30.86,44.55
3856,PEARL'S HILL,OUTRAM,DOCTOR,80.33,unknown,2025-04-18 14:19:05.766073,,30.86,32.52
3857,PEARL'S HILL,OUTRAM,RESTAURANT,75.33,unknown,2025-04-18 14:19:05.800406,,30.86,28.7
3858,PEARL'S HILL,OUTRAM,SHOPPING,95.92,unknown,2025-04-18 14:19:05.833928,,30.86,32.52
3859,PEARL'S HILL,OUTRAM,PERSONAL_CARE,29.18,unknown,2025-04-18 14:19:05.870741,,30.86,32.52
3860,PEARL'S HILL,OUTRAM,SCHOOL,70.79,unknown,2025-04-18 14:19:05.909967,,30.86,28.68
3861,PEARL'S HILL,OUTRAM,VEHICLE,50.31,unknown,2025-04-18 14:19:05.968278,,30.86,32.52
3862,PEARL'S HILL,OUTRAM,SPORTS_COMPLEX,38.70,unknown,2025-04-18 14:19:06.00984,,30.86,44.55
3863,BOAT QUAY,SINGAPORE RIVER,ARTS,73.23,unknown,2025-04-18 14:19:06.049425,,2.57,34.65
3864,BOAT QUAY,SINGAPORE RIVER,APPAREL,41.94,unknown,2025-04-18 14:19:06.090477,,2.57,22.61
3865,BOAT QUAY,SINGAPORE RIVER,CAFE,79.06,unknown,2025-04-18 14:19:06.128392,,2.57,31.88
3866,BOAT QUAY,SINGAPORE RIVER,CLUBS,75.20,unknown,2025-04-18 14:19:06.165417,,2.57,34.65
3867,BOAT QUAY,SINGAPORE RIVER,DOCTOR,89.72,unknown,2025-04-18 14:19:06.202353,,2.57,22.61
3868,BOAT QUAY,SINGAPORE RIVER,RESTAURANT,97.85,unknown,2025-04-18 14:19:06.242219,,2.57,18.8
3869,BOAT QUAY,SINGAPORE RIVER,SHOPPING,54.08,unknown,2025-04-18 14:19:06.282506,,2.57,22.61
3870,BOAT QUAY,SINGAPORE RIVER,PERSONAL_CARE,8.50,unknown,2025-04-18 14:19:06.320915,,2.57,22.61
3871,BOAT QUAY,SINGAPORE RIVER,SCHOOL,20.03,unknown,2025-04-18 14:19:06.371192,,2.57,18.78
3872,BOAT QUAY,SINGAPORE RIVER,VEHICLE,57.06,unknown,2025-04-18 14:19:06.417968,,2.57,22.61
